message_id,channel_name,image_path,detected_objects_count,detected_classes,top_detected_class,top_confidence,image_category,all_confidences
21842,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21842.jpg,0,,,0.0,other,{}
22393,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22393.jpg,0,,,0.0,other,{}
22387,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22387.jpg,0,,,0.0,other,{}
21856,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21856.jpg,2,"0,37",person,0.6241411566734314,lifestyle,"{0: 0.6241411566734314, 37: 0.36634331941604614}"
22436,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22436.jpg,0,,,0.0,other,{}
22350,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22350.jpg,1,39,bottle,0.841686487197876,product_display,{39: 0.841686487197876}
21659,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21659.jpg,2,"39,41",bottle,0.4822787344455719,product_display,"{39: 0.4822787344455719, 41: 0.3975864350795746}"
21881,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21881.jpg,1,39,bottle,0.8264501690864563,product_display,{39: 0.8264501690864563}
21895,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21895.jpg,1,39,bottle,0.9318892359733582,product_display,{39: 0.9318892359733582}
22344,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22344.jpg,0,,,0.0,other,{}
22422,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22422.jpg,1,28,suitcase,0.3222518265247345,other,{28: 0.3222518265247345}
21103,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21103.jpg,1,0,person,0.31474918127059937,lifestyle,{0: 0.31474918127059937}
21665,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21665.jpg,1,73,book,0.32564425468444824,other,{73: 0.32564425468444824}
22378,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22378.jpg,0,,,0.0,other,{}
21671,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21671.jpg,0,,,0.0,other,{}
21117,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21117.jpg,0,,,0.0,other,{}
22191,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22191.jpg,0,,,0.0,other,{}
21498,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21498.jpg,2,"39,41",bottle,0.5629428029060364,product_display,"{39: 0.5629428029060364, 41: 0.3724503219127655}"
20786,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20786.jpg,0,,,0.0,other,{}
